i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
176	-10911.8809958	763.033050342	0.0	-10848.910604	720.448584891	9.39098323224	62.97039174818124	-42.58446545103367	9.390983232237062
177	-10950.6065962	573.89697351	0.0	-10875.0846619	556.512823354	92.0357984319	75.52193428670029	-17.384150156051376	92.0357984318978
178	-10978.3939419	383.373964234	0.0	-10942.5812378	439.278392572	88.9982771362	35.81270407558043	55.90442833817906	88.9982771362348
179	-10995.1171177	191.920483183	0.0	-10978.2176196	229.836368157	-6.02777508989	16.899498112818904	37.91588497333777	-6.027775089894163
180	-11000.7	1.34719720434e-12	0.0	-10987.4661251	56.0260578821	68.6422421919	13.233874856252498	56.026057882093994	68.64224219186863
181	-10995.1171177	-191.920483183	0.0	-10953.8240146	-107.037767197	3.63612285295	41.29310311559817	84.88271598625147	3.6361228529457037
182	-10978.3939419	-383.373964234	0.0	-11004.8840964	-327.000530114	39.1604391589	-26.49015449679335	56.37343411969107	39.1604391588906
183	-10950.6065962	-573.89697351	0.0	-11036.7752784	-586.189561588	-96.5335550852	-86.1686821481774	-12.292588078751038	-96.53355508515709
184	-10911.8809958	-763.033050342	0.0	-10814.2702262	-858.69795753	-28.4786921316	97.61076956068575	-95.66490718778142	-28.47869213164202
185	-10862.3914313	-950.336109023	0.0	-10840.7179429	-960.928471178	-45.2472360124	21.67348842278409	-10.592362155043105	-45.24723601243012
186	-10802.3586291	-1135.37364278	0.0	-10859.6912057	-1128.06253426	16.6944149523	-57.33257662381261	7.311108515372496	16.69441495232904
187	-10732.0473259	-1317.7297185	0.0	-10780.0503071	-1351.23531033	-16.7308600678	-48.002981200743534	-33.50559183011394	-16.730860067828687
188	-10651.7634088	-1497.00772053	0.0	-10740.6740078	-1437.61909312	39.5730481315	-88.91059894701849	59.38862740756568	39.573048131508955
189	-10561.8506759	-1672.83280809	0.0	-10493.0571131	-1644.63151262	-86.4239280989	68.7935628113994	28.201295475171946	-86.4239280988562
190	-10462.6872802	-1844.85405821	0.0	-10484.2164232	-1938.7411109	-97.5467786285	-21.52914306559353	-93.88705269482091	-97.54677862845998
191	-10354.6819236	-2012.74627333	0.0	-10326.8526621	-2062.89736904	92.0794877193	27.829261478203833	-50.151095711301096	92.07948771928886
192	-10238.2698691	-2176.21144083	0.0	-10208.7283941	-2084.74063018	45.5837022155	29.541474983335405	91.47081064847015	45.583702215516894
193	-10113.908839	-2334.97983886	0.0	-10135.4754631	-2311.95929179	-91.7272424564	-21.566624135284428	23.020547066822147	-91.72724245640511
194	-9982.07486633	-2488.81079065	0.0	-9954.81984105	-2473.84052302	-17.0256412238	27.255025276231265	14.970267633142996	-17.025641223815796
195	-9843.25816395	-2637.49307592	0.0	-9895.12536313	-2652.54745633	-53.5689963958	-51.867199174109466	-15.054380408823405	-53.568996395804014
196	-9697.95906844	-2780.84501415	0.0	-9726.0103475	-2830.52154832	-61.2775848111	-28.051279058425308	-49.67653416496369	-61.27758481111769
197	-9546.68411401	-2918.71423985	0.0	-9454.57554663	-2889.10400839	-33.7511834431	92.10856738461027	29.610231452004285	-33.75118344313765
198	-9389.94228228	-3050.977194	0.0	-9313.83365088	-3025.76483017	12.5981371866	76.10863140278607	25.212363836059453	12.598137186583116
199	-9228.24146816	-3177.53835959	0.0	-9183.84604988	-3151.5028249	1.88164939381	44.39541827993193	26.03553469702102	1.8816493938118128
200	-9062.08519417	-3298.32927106	0.0	-9125.65679251	-3347.60133754	10.9025931821	-63.57159833525956	-49.27206647475468	10.902593182096027
201	-8891.96959835	-3413.30732943	0.0	-8825.12106594	-3510.78753895	-22.4914754468	66.8485324081926	-97.48020951573018	-22.49147544679704
