i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
162	-9389.94228228	3050.977194	0.0	-9310.01086104	3088.9110772	-88.6572913287	79.93142124350106	37.93388319211377	-88.65729132873028
163	-9546.68411401	2918.71423985	0.0	-9459.04672607	2845.40341719	-16.4217888883	87.63738793739975	-73.31082265505438	-16.421788888345915
164	-9697.95906844	2780.84501415	0.0	-9666.19708676	2843.41756058	0.293953821073	31.76198168545551	62.57254642456738	0.29395382107307455
165	-9843.25816395	2637.49307592	0.0	-9938.25883317	2673.08306838	2.44666379426	-95.00066921989563	35.58999246030456	2.4466637942568923
166	-9982.07486633	2488.81079065	0.0	-9919.69375279	2559.5201544	-80.2607594179	62.38111354134497	70.70936374976574	-80.26075941790549
167	-10113.908839	2334.97983886	0.0	-10178.0129915	2260.77929722	71.5591285556	-64.10415249568955	-74.20054163749485	71.5591285556479
168	-10238.2698691	2176.21144083	0.0	-10275.8735506	2095.7116993	85.0169726816	-37.60368144363502	-80.49974153428522	85.0169726816323
169	-10354.6819236	2012.74627333	0.0	-10318.1737196	1919.73084895	68.0962443897	36.50820400911849	-93.01542438281992	68.09624438973921
170	-10462.6872802	1844.85405821	0.0	-10522.4217203	1806.20273127	-26.6641498578	-59.73444018598912	-38.651326935212474	-26.66414985784074
171	-10561.8506759	1672.83280809	0.0	-10507.8630994	1723.75357043	71.4674761408	53.98757646898119	50.92076233088093	71.4674761408069
172	-10651.7634088	1497.00772053	0.0	-10738.4859338	1501.111766	-74.8111201972	-86.72252497610924	4.1040454714671455	-74.81112019724958
173	-10732.0473259	1317.7297185	0.0	-10632.2403595	1255.81233819	82.1626930229	99.80696643238613	-61.91738030890319	82.16269302291892
174	-10802.3586291	1135.37364278	0.0	-10870.4292687	1225.23742616	93.268923555	-68.07063958409564	89.86378338767295	93.26892355495556
175	-10862.3914313	950.336109023	0.0	-10868.7745577	991.919397837	-70.7566512834	-6.383126332401233	41.58328881431865	-70.75665128342101
176	-10911.8809958	763.033050342	0.0	-11011.8233418	670.762462008	80.377109489	-99.94234601043944	-92.27058833366777	80.37710948899888
177	-10950.6065962	573.89697351	0.0	-10991.2132233	626.079984275	48.7532470911	-40.60662704313158	52.183010765044	48.753247091086706
178	-10978.3939419	383.373964234	0.0	-11038.487992	313.212851549	29.4832978647	-60.09405015305684	-70.16111268517973	29.483297864735647
179	-10995.1171177	191.920483183	0.0	-11015.7635514	190.206666817	78.6771907018	-20.64643369736443	-1.7138163659855365	78.67719070176398
180	-11000.7	1.34719720434e-12	0.0	-11083.1164328	59.5604187644	59.8200583538	-82.4164327935662	59.56041876440034	59.82005835384706
181	-10995.1171177	-191.920483183	0.0	-11053.149795	-182.046898254	7.70194699337	-58.032677316083394	9.873584928730963	7.701946993368878
182	-10978.3939419	-383.373964234	0.0	-11030.4715556	-365.605086404	-34.5045160832	-52.07761368735573	17.76887783024894	-34.50451608321805
183	-10950.6065962	-573.89697351	0.0	-10921.515819	-505.919615835	39.1967077024	29.090777238417388	67.97735767446585	39.196707702371015
184	-10911.8809958	-763.033050342	0.0	-10828.7293963	-675.803874974	95.976343027	83.15159948181108	87.2291753682739	95.97634302695124
185	-10862.3914313	-950.336109023	0.0	-10926.7841614	-969.311308751	-66.0831459963	-64.39273011449907	-18.975199728574864	-66.08314599627707
186	-10802.3586291	-1135.37364278	0.0	-10819.1362609	-1073.1398456	45.4651245571	-16.777631779889802	62.233797174799605	45.46512455705701
187	-10732.0473259	-1317.7297185	0.0	-10724.2784522	-1281.9262503	58.4519586917	7.768873658911772	35.80346819669623	58.45195869168063
188	-10651.7634088	-1497.00772053	0.0	-10611.2528072	-1552.30413963	-29.2182041465	40.51060166145561	-55.29641910447853	-29.21820414646905
189	-10561.8506759	-1672.83280809	0.0	-10621.0819245	-1650.28669354	90.0217732401	-59.23124854979438	22.546114554117835	90.02177324005439
190	-10462.6872802	-1844.85405821	0.0	-10482.2679105	-1803.63233902	62.737111751	-19.580630381469447	41.22171918474487	62.73711175103756
191	-10354.6819236	-2012.74627333	0.0	-10258.9036097	-2038.06439601	-4.34189098657	95.77831388769954	-25.31812267821904	-4.34189098656563
192	-10238.2698691	-2176.21144083	0.0	-10333.5471636	-2121.54079455	93.1359362325	-95.27729443879178	54.670646275724295	93.13593623253266
193	-10113.908839	-2334.97983886	0.0	-10153.0712036	-2405.62868459	72.1736499205	-39.16236465762963	-70.64884573432289	72.17364992051918
194	-9982.07486633	-2488.81079065	0.0	-10071.8632402	-2533.37168121	-10.8575451111	-89.78837382386884	-44.560890557777434	-10.857545111082928
195	-9843.25816395	-2637.49307592	0.0	-9824.95824929	-2548.10163574	-86.3809761195	18.299914658446042	89.39144017691711	-86.38097611953097
196	-9697.95906844	-2780.84501415	0.0	-9712.30999581	-2769.61747646	-99.1870726922	-14.350927368223338	11.227537692710612	-99.18707269216864
