,x,y,z,x+dif,y+dif,z+dif,xdif,ydif,zdif
184,-10911.8809958,-763.033050342,0,-10818.2031373,-750.053889235,30.571219241,93.6778585092089,12.9791611069914,30.5712192410199
185,-10862.3914313,-950.336109023,0,-10800.8557778,-963.53699965,-33.9628535006,61.5356535535837,-13.2008906273784,-33.9628535005964
186,-10802.3586291,-1135.37364278,0,-10768.818567,-1063.65703311,-53.3272430278,33.5400620982994,71.7166096611745,-53.3272430277842
187,-10732.0473259,-1317.7297185,0,-10828.9754805,-1347.92275733,-65.9995896645,-96.9281545820184,-30.1930388348573,-65.9995896645378
188,-10651.7634088,-1497.00772053,0,-10634.944636,-1487.11771937,-63.7316631819,16.8187728200947,9.89000115549675,-63.7316631819108
189,-10561.8506759,-1672.83280809,0,-10488.0210253,-1692.49357304,-28.3427601875,73.8296505846881,-19.6607649415048,-28.3427601874823
190,-10462.6872802,-1844.85405821,0,-10520.5428224,-1840.21180418,-3.44004899294,-57.8555422865758,4.6422540313995,-3.44004899293829
191,-10354.6819236,-2012.74627333,0,-10342.785352,-1920.98306706,-42.0359409816,11.8965715752474,91.7632062717709,-42.0359409816359
192,-10238.2698691,-2176.21144083,0,-10169.5321749,-2090.66739337,-6.14188932524,68.7376941699324,85.544047457496,-6.14188932524391
193,-10113.908839,-2334.97983886,0,-10093.5431977,-2243.60744742,51.7665779494,20.3656412859403,91.3723914421704,51.766577949373
194,-9982.07486633,-2488.81079065,0,-9903.83857149,-2480.61675288,24.4628531547,78.2362948402056,8.19403777692043,24.4628531547298
195,-9843.25816395,-2637.49307592,0,-9772.11641312,-2619.6469099,78.4564293564,71.1417508329597,17.846166018862,78.456429356379
196,-9697.95906844,-2780.84501415,0,-9742.55598642,-2711.6840765,-54.0174681921,-44.5969179817555,69.1609376582218,-54.0174681920719
197,-9546.68411401,-2918.71423985,0,-9568.74621758,-2834.41703122,-54.8630298954,-22.0621035723784,84.2972086221985,-54.8630298954197
198,-9389.94228228,-3050.977194,0,-9391.58129866,-3102.18988323,33.7537226215,-1.63901637424526,-51.212689225007,33.7537226215281
199,-9228.24146816,-3177.53835959,0,-9131.26916165,-3077.88423051,39.7371952278,96.9723065102017,99.6541290871716,39.737195227811
200,-9062.08519417,-3298.32927106,0,-9041.74611961,-3251.43386259,90.2251058339,20.3390745595485,46.8954084750473,90.2251058339445
201,-8891.96959835,-3413.30732943,0,-8904.97101831,-3375.466204,-38.7575173334,-13.0014199580352,37.8411254313771,-38.7575173333885
202,-8718.38071363,-3522.45445512,0,-8686.59760739,-3468.38013424,52.4160963963,31.7831062403138,54.0743208875282,52.416096396297
203,-8541.7920496,-3625.77561035,0,-8587.18882204,-3584.50106035,41.0310838439,-45.3967724457787,41.2745500014273,41.0310838438809
204,-8362.66248124,-3723.2972222,0,-8281.77648567,-3693.10477044,47.2441121928,80.8859955752064,30.1924517620142,47.244112192795
205,-8181.43444363,-3815.06553576,0,-8098.93350065,-3754.59980327,-58.050891177,82.5009429838136,60.4657324903113,-58.0508911769669
206,-7998.53242619,-3901.14492495,0,-7949.5795974,-3864.50258685,-48.0693917166,48.9528287870517,36.6423381065234,-48.0693917166485
207,-7814.36175618,-3981.61618633,0,-7913.85597172,-3994.71222438,-73.9408684209,-99.4942155429954,-13.0960380559893,-73.9408684208971
208,-7629.30765721,-4056.57483838,0,-7655.00595986,-3962.67041426,82.9775226103,-25.6983026492028,93.9044241230813,82.9775226102635
209,-7443.73456599,-4126.12944654,0,-7373.20978164,-4070.26133752,-6.91694493443,70.5247843526668,55.8681090202265,-6.91694493442947
210,-7257.98568826,-4190.39999089,0,-7287.28207334,-4116.46409951,-4.2685535695,-29.2963850839856,73.9358913769273,-4.26855356949957
211,-7072.38277349,-4249.51629128,0,-7025.93468425,-4192.22903018,-39.5263326979,46.4480892404576,57.2872610976212,-39.5263326979
